BRIX ,lbs/gal,# SOLIDS/GAL,kg/gal,# solid per Metric Ton,Total Gallons per metric Ton
20.9,9.046,1.8906,4.103,460.8,243.7
21,9.049,1.9,4.105,462.9,243.6
21.1,9.053,1.9102,4.106,465.2,243.5
21.2,9.057,1.9201,4.108,467.4,243.4
21.3,9.061,1.93,4.11,469.6,243.3
21.4,9.064,1.9397,4.111,471.8,243.2
21.5,9.068,1.95,4.113,474.1,243.1
21.6,9.072,1.9596,4.115,476.2,243
21.7,9.076,1.9695,4.117,478.4,242.9
21.8,9.079,1.9792,4.118,480.6,242.8
21.9,9.083,1.9892,4.12,482.8,242.7
22,9.087,1.999,4.122,485,242.6
22.1,9.091,2.0091,4.124,487.2,242.5
22.2,9.095,2.0191,4.125,489.4,242.4
22.3,9.099,2.0291,4.127,491.6,242.3
22.4,9.102,2.0388,4.129,493.8,242.2
22.5,9.106,2.0489,4.13,496,242.1
22.6,9.11,2.0589,4.132,498.2,242
22.7,9.114,2.0689,4.134,500.4,241.9
22.8,9.117,2.0787,4.135,502.7,241.8
22.9,9.121,2.0887,4.137,504.9,241.7
23,9.125,2.0988,4.139,507.1,241.6
23.1,9.129,2.1088,4.141,509.3,241.5
23.2,9.133,2.1189,4.143,511.5,241.4
23.3,9.136,2.1287,4.144,513.7,241.3
23.4,9.14,2.1388,4.146,515.9,241.2
23.5,9.144,2.1488,4.148,518.1,241.1
23.6,9.148,2.1589,4.15,520.3,241
23.7,9.152,2.169,4.151,522.5,240.9
23.8,9.155,2.1789,4.153,524.7,240.8
23.9,9.159,2.189,4.154,526.9,240.7
24,9.163,2.1991,4.156,529.1,240.6
24.1,9.167,2.2092,4.158,531.3,240.5
24.2,9.171,2.2194,4.16,533.5,240.4
24.3,9.175,2.2295,4.162,535.7,240.3
24.4,9.178,2.2394,4.163,537.9,240.2
24.5,9.182,2.2496,4.165,540.1,240.1
24.6,9.186,2.2598,4.167,542.3,240
24.7,9.19,2.2699,4.169,544.5,239.9
24.8,9.193,2.2799,4.17,546.7,239.8
24.9,9.197,2.2901,4.172,549,239.7
25,9.201,2.3,4.174,551.1,239.6
25.1,9.205,2.3105,4.175,553.4,239.5
25.2,9.209,2.3206,4.177,555.5,239.4
25.3,9.212,2.3308,4.179,557.8,239.3
25.4,9.216,2.341,4.18,560,239.2
25.5,9.22,2.3512,4.182,562.2,239.1
25.6,9.224,2.3614,4.184,564.4,239
25.7,9.228,2.3716,4.186,566.6,238.9
25.8,9.231,2.3818,4.187,568.8,238.8
25.9,9.235,2.392,4.189,571,238.7
26,9.239,2.402,4.191,573.2,238.6
26.1,9.243,2.4124,4.193,575.4,238.5
26.2,9.247,2.4227,4.194,577.6,238.4
26.3,9.251,2.433,4.196,579.8,238.3
26.4,9.255,2.4433,4.198,582,238.2
26.5,9.259,2.4536,4.2,584.2,238.1
26.6,9.262,2.4639,4.201,586.5,238
26.7,9.266,2.4742,4.203,588.7,237.9
26.8,9.27,2.4845,4.205,590.9,237.8
26.9,9.274,2.4948,4.207,593.1,237.7
27,9.278,2.505,4.208,595.2,237.6
27.1,9.282,2.5155,4.21,597.5,237.5
27.2,9.286,2.5258,4.212,599.7,237.4
27.3,9.29,2.5362,4.214,601.9,237.3
27.4,9.294,2.5465,4.216,604,237.2
27.5,9.298,2.5569,4.218,606.3,237.1
27.6,9.301,2.5673,4.219,608.5,237
27.7,9.305,2.5777,4.221,610.7,236.9
27.8,9.309,2.588,4.223,612.9,236.8
27.9,9.313,2.5984,4.224,615.1,236.7
28,9.317,2.609,4.226,617.3,236.6
28.1,9.321,2.6193,4.228,619.5,236.5
28.2,9.325,2.6297,4.23,621.7,236.4
28.3,9.329,2.6402,4.232,623.9,236.3
28.4,9.333,2.6507,4.233,626.1,236.2
28.5,9.337,2.6612,4.235,628.3,236.1
28.6,9.341,2.6716,4.237,630.5,236
28.7,9.345,2.6821,4.239,632.7,235.9
28.8,9.349,2.6926,4.241,634.9,235.8
28.9,9.353,2.703,4.242,637.1,235.7
29,9.357,2.714,4.244,639.4,235.6
29.1,9.361,2.724,4.246,641.5,235.5
29.2,9.365,2.7346,4.248,643.7,235.4
29.3,9.369,2.7451,4.25,645.9,235.3
29.4,9.373,2.7556,4.252,648.1,235.2
29.5,9.377,2.7662,4.253,650.4,235.1
29.6,9.38,2.7767,4.255,652.6,235
29.7,9.384,2.7873,4.257,654.8,234.9
29.8,9.388,2.7978,4.258,657,234.8
29.9,9.392,2.8083,4.26,659.2,234.7
30,9.396,2.819,4.262,661.4,234.6
30.1,9.4,2.8295,4.264,663.6,234.5
30.2,9.404,2.8401,4.266,665.8,234.4
30.3,9.408,2.8507,4.267,668,234.3
30.4,9.412,2.8613,4.269,670.2,234.2
30.5,9.416,2.872,4.271,672.4,234.1
30.6,9.42,2.8826,4.273,674.6,234
30.7,9.424,2.8933,4.275,676.8,233.9
30.8,9.428,2.9039,4.277,679,233.8
30.9,9.432,2.9146,4.278,681.2,233.7
31,9.436,2.925,4.28,683.4,233.6
31.1,9.44,2.936,4.282,685.7,233.5
31.2,9.444,2.9467,4.284,687.9,233.4
31.3,9.448,2.9575,4.286,690.1,233.3
31.4,9.452,2.9682,4.287,692.3,233.2
31.5,9.457,2.979,4.29,694.5,233.1
31.6,9.461,2.9897,4.291,696.7,233
31.7,9.465,3.0004,4.293,698.9,232.9
31.8,9.469,3.0111,4.295,701.1,232.8
31.9,9.473,3.0219,4.297,703.3,232.7
32,9.477,3.033,4.299,705.6,232.6
32.1,9.481,3.0434,4.301,707.7,232.5
32.2,9.485,3.0542,4.302,709.9,232.4
32.3,3.489,3.065,1.583,1936.7,631.9
32.4,9.493,3.0758,4.306,714.3,232.2
32.5,9.497,3.0866,4.308,716.5,232.1
32.6,9.501,3.0974,4.31,718.7,232
32.7,9.505,3.1082,4.311,720.9,231.9
32.8,9.509,3.119,4.313,723.1,231.8
32.9,9.513,3.1298,4.315,725.3,231.7
33,9.517,3.141,4.317,727.6,231.6
33.1,9.521,3.1515,4.319,729.7,231.6
33.2,9.525,3.1624,4.321,732,231.5
33.3,9.529,3.1734,4.322,734.2,231.4
33.4,9.533,3.1843,4.324,736.4,231.3
33.5,9.538,3.1952,4.326,738.5,231.1
33.6,9.542,3.2061,4.328,740.7,231
33.7,9.546,3.217,4.33,742.9,230.9
33.8,9.55,3.2279,4.332,745.2,230.8
33.9,9.554,3.2388,4.334,747.4,230.8
34,9.558,3.25,4.335,749.6,230.7
34.1,9.562,3.2607,4.337,751.8,230.6
34.2,9.566,3.2717,4.339,754,230.5
34.3,9.57,3.2827,4.341,756.2,230.4
34.4,9.574,3.2937,4.343,758.4,230.3
34.5,9.579,3.3047,4.345,760.6,230.1
34.6,9.583,3.3157,4.347,762.8,230.1
34.7,9.587,3.3267,4.349,765,230
34.8,9.591,3.3377,4.35,767.2,229.9
34.9,9.595,3.3487,4.352,769.4,229.8
35,9.599,3.36,4.354,771.7,229.7
35.1,9.603,3.3708,4.356,773.8,229.6
35.2,9.607,3.3818,4.358,776.1,229.5
35.3,9.611,3.3929,4.36,778.3,229.4
35.4,9.615,3.404,4.361,780.5,229.3
35.5,9.62,3.4151,4.364,782.6,229.2
35.6,9.624,3.4261,4.365,784.8,229.1
35.7,9.628,3.4372,4.367,787,229
35.8,9.632,3.4483,4.369,789.3,228.9
35.9,9.636,3.4594,4.371,791.5,228.8
36,9.64,3.47,4.373,793.6,228.7
36.1,9.644,3.4816,4.374,795.9,228.6
36.2,9.648,3.4928,4.376,798.1,228.5
36.3,9.652,3.504,4.378,800.3,228.4
36.4,9.656,3.5152,4.38,802.6,228.3
36.5,9.661,3.5263,4.382,804.7,228.2
36.6,9.665,3.5376,4.384,806.9,228.1
36.7,9.67,3.5488,4.386,809.1,228
36.8,9.674,3.56,4.388,811.3,227.9
36.9,9.678,3.5711,4.39,813.5,227.8
37,9.682,3.582,4.392,815.6,227.7
37.1,9.686,3.5936,4.394,817.9,227.6
37.2,9.69,3.6049,4.395,820.2,227.5
37.3,9.695,3.6162,4.398,822.3,227.4
37.4,9.699,3.6275,4.399,824.5,227.3
37.5,9.703,3.6388,4.401,826.8,227.2
37.6,9.707,3.65,4.403,829,227.1
37.7,9.712,3.6613,4.405,831.1,227
37.8,9.716,3.6726,4.407,833.3,226.9
37.9,9.72,3.6838,4.409,835.5,226.8
38,9.724,3.695,4.411,837.7,226.7
38.1,9.728,3.7064,4.413,840,226.6
38.2,9.732,3.7178,4.414,842.2,226.5
38.3,9.737,3.7292,4.417,844.3,226.4
38.4,9.741,3.7406,4.418,846.6,226.3
38.5,9.745,3.752,4.42,848.8,226.2
38.6,9.749,3.7633,4.422,851,226.1
38.7,9.754,3.7746,4.424,853.1,226
38.8,9.758,3.786,4.426,855.4,225.9
38.9,9.762,3.7974,4.428,857.6,225.8
39,9.766,3.809,4.43,859.9,225.7
39.1,9.771,3.8202,4.432,861.9,225.6
39.2,9.775,3.8317,4.434,864.2,225.5
39.3,9.779,3.8432,4.436,866.4,225.4
39.4,9.783,3.8547,4.438,868.7,225.4
39.5,9.788,3.8662,4.44,870.8,225.2
39.6,9.792,3.8777,4.442,873,225.1
39.7,9.796,3.8891,4.443,875.2,225.1
39.8,9.8,3.9006,4.445,877.5,225
39.9,9.805,3.9121,4.448,879.6,224.8
40,9.809,3.924,4.449,881.9,224.8
40.1,9.814,3.9351,4.452,884,224.6
40.2,9.818,3.9467,4.453,886.2,224.5
40.3,9.822,3.9583,4.455,888.5,224.5
40.4,9.826,3.9699,4.457,890.7,224.4
40.5,9.831,3.9815,4.459,892.9,224.2
40.6,9.835,3.993,4.461,895.1,224.2
40.7,9.839,4.0046,4.463,897.3,224.1
40.8,9.843,4.0162,4.465,899.5,224
40.9,9.848,4.0277,4.467,901.7,223.9
41,9.852,4.039,4.469,903.8,223.8
41.1,9.856,4.0509,4.471,906.1,223.7
41.2,9.861,4.0626,4.473,908.3,223.6
41.3,9.865,4.0743,4.475,910.5,223.5
41.4,9.869,4.086,4.477,912.8,223.4
41.5,9.874,4.0977,4.479,914.9,223.3
41.6,9.878,4.1093,4.481,917.1,223.2
41.7,9.882,4.1209,4.482,919.3,223.1
41.8,9.886,4.1326,4.484,921.6,223
41.9,9.891,4.1442,4.487,923.7,222.9
42,9.895,4.156,4.488,926,222.8
42.1,9.899,4.1677,4.49,928.2,222.7
42.2,9.904,4.1795,4.492,930.3,222.6
42.3,9.909,4.1913,4.495,932.5,222.5
42.4,9.913,4.2031,4.497,934.7,222.4
42.5,9.917,4.2149,4.498,937,222.3
42.6,9.921,4.2266,4.5,939.2,222.2
42.7,9.926,4.2384,4.502,941.4,222.1
42.8,9.93,4.2502,4.504,943.6,222
42.9,9.935,4.262,4.506,945.7,221.9
43,9.939,4.274,4.508,948,221.8
43.1,9.943,4.2856,4.51,950.2,221.7
43.2,9.948,4.2975,4.512,952.4,221.6
43.3,9.952,4.3094,4.514,954.6,221.5
43.4,9.957,4.3213,4.516,956.8,221.4
43.5,9.961,4.3332,4.518,959,221.3
43.6,9.965,4.345,4.52,961.3,221.2
43.7,9.97,4.3569,4.522,963.4,221.1
43.8,9.974,4.3688,4.524,965.7,221
43.9,9.979,4.3806,4.526,967.8,220.9
44,9.983,4.393,4.528,970.1,220.8
44.1,9.987,4.4045,4.53,972.3,220.7
44.2,9.992,4.4165,4.532,974.4,220.6
44.3,9.996,4.4284,4.534,976.7,220.5
44.4,10.001,4.4404,4.536,978.8,220.4
44.5,10.005,4.4524,4.538,981.1,220.3
44.6,10.009,4.4643,4.54,983.3,220.3
44.7,10.014,4.4762,4.542,985.4,220.2
44.8,10.018,4.4882,4.544,987.7,220.1
44.9,10.023,4.5002,4.546,989.8,220
45,10.027,4.512,4.548,992,219.9
45.1,10.031,4.5242,4.55,994.3,219.8
45.2,10.036,4.5363,4.552,996.5,219.7
45.3,10.04,4.5483,4.554,998.7,219.6
45.4,10.045,4.5604,4.556,1000.9,219.5
45.5,10.049,4.5725,4.558,1003.1,219.4
45.6,10.153,4.5845,4.605,995.5,217.1
45.7,10.058,4.5965,4.562,1007.5,219.2
45.8,10.062,4.6086,4.564,1009.8,219.1
45.9,10.067,4.6207,4.566,1011.9,219
46,10.071,4.633,4.568,1014.2,218.9
46.1,10.075,4.6448,4.57,1016.4,218.8
46.2,10.08,4.657,4.572,1018.5,218.7
46.3,10.084,4.6692,4.574,1020.8,218.6
46.4,10.089,4.6814,4.576,1023,218.5
46.5,10.094,4.6936,4.579,1025.1,218.4
46.6,10.098,4.7058,4.58,1027.4,218.3
46.7,10.103,4.718,4.583,1029.5,218.2
46.8,10.107,4.7302,4.585,1031.8,218.1
46.9,10.112,4.7423,4.587,1033.9,218
47,10.116,4.755,4.589,1036.3,217.9
